0.9531,0.8101,  0.0000e+00 ,123.3389,-0.1214,-1.0487
0.9541,0.8108,  0.0000e+00 ,123.7533,-0.1229,-1.013
0.9534,0.779,  0.0000e+00 ,122.6605,-0.1222,-1.233
0.9543,0.7979,  0.0000e+00 ,122.9334,-0.1222,-1.0759
0.9534,0.7966,  0.0000e+00 ,122.3125,-0.1219,-1.0365
0.9533,0.7966,  0.0000e+00 ,122.4892,-0.1219,-1.0672
0.9513,0.8124,  0.0000e+00 ,123.3093,-0.1232,-1.038
0.9524,0.8116,  0.0000e+00 ,124.2982,-0.1243,-1.047
0.9523,0.8122,  0.0000e+00 ,123.3808,-0.1239,-0.9963
0.9526,0.8097,  0.0000e+00 ,124.3407,-0.1248,-0.9798
0.9521,0.7968,0.0167,122.3125,-0.1219,-1.1024
0.9522,0.7831,0.0167,122.3125,-0.1219,-1.1635
0.9534,0.7966,  0.0000e+00 ,122.3124,-0.1219,-1.1658
0.952,0.7971,0.0167,122.3125,-0.1219,-1.2501
0.9547,0.7972,  0.0000e+00 ,122.3125,-0.1219,-1.1174
0.9524,0.8004,  0.0000e+00 ,122.3066,-0.1219,-1.1786
0.9505,0.7519,0.0167,122.3125,-0.1219,-1.7295
0.9509,0.7747,  0.0000e+00 ,122.3066,-0.1219,-1.3103
0.9534,0.797,  0.0000e+00 ,122.3066,-0.1219,-1.1476
0.9531,0.7752,  0.0000e+00 ,122.3066,-0.1219,-1.2476
0.9533,0.795,  0.0000e+00 ,122.3042,-0.1219,-1.2462
0.955,0.797,  0.0000e+00 ,122.3081,-0.1219,-1.1533
0.9551,0.7966,  0.0000e+00 ,122.3125,-0.1219,-1.1363
0.9553,0.797,  0.0000e+00 ,122.3098,-0.1219,-1.1194
0.9521,0.7839,0.0167,122.3125,-0.1219,-1.2942
0.952,0.7951,0.0167,122.3125,-0.1219,-1.362
0.9539,0.7968,0.0159,122.3044,-0.1219,-1.2222
0.953,0.797,0.0312,122.3124,-0.1219,-1.2755
0.953,0.7775,  0.0000e+00 ,122.3066,-0.1219,-1.3452
0.9533,0.776,  0.0000e+00 ,122.3066,-0.1219,-1.2874
0.9551,0.7966,  0.0000e+00 ,122.3131,-0.1219,-1.1708
0.9565,0.7968,  0.0000e+00 ,122.3125,-0.1219,-1.1201
0.9566,0.7972,  0.0000e+00 ,122.3125,-0.1219,-1.1201
0.9524,0.7966,  0.0000e+00 ,121.4189,-0.1219,-1.0848
0.9536,0.7974,  0.0000e+00 ,122.3183,-0.1219,-1.0659
0.9495,0.7268,0.0339,122.3066,-0.1219,-1.243
0.951,0.7965,  0.0000e+00 ,122.3066,-0.1219,-1.3285
0.9517,0.7978,  0.0000e+00 ,122.3183,-0.1219,-1.2478
0.9507,0.7431,  0.0000e+00 ,122.2654,-0.1219,-1.1636
0.9563,0.7987,  0.0000e+00 ,122.2948,-0.1219,-1.1772
0.9573,0.7955,  0.0000e+00 ,122.2831,-0.1219,-1.197
0.9527,0.7547,  0.0000e+00 ,121.7503,-0.1219,-1.4681
0.9536,0.7723,  0.0000e+00 ,121.1529,-0.1219,-1.6557
0.9548,0.7987,  0.0000e+00 ,122.2948,-0.1219,-1.2208
0.9551,0.7989,0.0132,122.2926,-0.1219,-1.28
0.9525,0.7435,  0.0000e+00 ,122.2595,-0.1219,-1.176
0.9576,0.798,  0.0000e+00 ,122.2948,-0.1219,-1.1317
0.9584,0.7975,  0.0000e+00 ,122.2184,-0.1219,-1.1074
0.9544,0.7556,  0.0000e+00 ,121.7562,-0.1219,-1.4393
0.955,0.7718,  0.0000e+00 ,121.153,-0.1219,-1.609
0.9561,0.7985,  0.0000e+00 ,122.2948,-0.1219,-1.2259
0.9563,0.797,0.0127,122.2948,-0.1219,-1.2684
0.9527,0.7435,  0.0000e+00 ,122.2595,-0.1219,-1.1477
0.9577,0.7987,  0.0000e+00 ,122.2889,-0.1219,-1.1448
0.9586,0.7958,  0.0000e+00 ,122.2889,-0.1219,-1.1604
0.9561,0.7987,  0.0000e+00 ,122.2948,-0.1219,-1.225
0.9563,0.7985,0.0127,122.2948,-0.1219,-1.2512
